ds,Divorce,Marriage
2007-01-01,6568.0,20912.0
2007-02-01,5963.0,31475.0
2007-03-01,6388.0,20155.0
2007-04-01,6696.0,21182.0
2007-05-01,6298.0,21678.0
2007-06-01,6464.0,20696.0
2007-07-01,5849.0,17979.0
2007-08-01,6282.0,18330.0
2007-09-01,6058.0,17179.0
2007-10-01,6261.0,17580.0
2007-11-01,6062.0,16630.0
2007-12-01,5999.0,15243.0
2008-01-01,7248.0,21953.0
2008-02-01,6408.0,30014.0
2008-03-01,6693.0,19319.0
2008-04-01,6679.0,17992.0
2008-05-01,6621.0,20321.0
2008-06-01,6604.0,19520.0
2008-07-01,6420.0,18009.0
2008-08-01,6035.0,19376.0
2008-09-01,6199.0,17181.0
2008-10-01,6434.0,16736.0
2008-11-01,6008.0,15894.0
2008-12-01,6690.0,18459.0
2009-01-01,6910.0,21258.0
2009-02-01,6504.0,32082.0
2009-03-01,7068.0,21668.0
2009-04-01,6644.0,17620.0
2009-05-01,6546.0,20682.0
2009-06-01,7031.0,21056.0
2009-07-01,6326.0,17718.0
2009-08-01,6528.0,18388.0
2009-09-01,6817.0,22841.0
2009-10-01,6536.0,16920.0
2009-11-01,6635.0,15693.0
2009-12-01,6746.0,17608.0
2010-01-01,6983.0,18271.0
2010-02-01,6314.0,26357.0
2010-03-01,7036.0,19780.0
2010-04-01,7342.0,19727.0
2010-05-01,6909.0,23128.0
2010-06-01,6969.0,23710.0
2010-07-01,6683.0,19484.0
2010-08-01,6374.0,19074.0
2010-09-01,6517.0,18824.0
2010-10-01,6572.0,16720.0
2010-11-01,6184.0,15848.0
2010-12-01,6561.0,16270.0
2011-01-01,7090.0,18746.0
2011-02-01,6283.0,31900.0
2011-03-01,7087.0,19922.0
2011-04-01,7084.0,18605.0
2011-05-01,7066.0,20348.0
2011-06-01,6926.0,19385.0
2011-07-01,6838.0,17862.0
2011-08-01,6628.0,18787.0
2011-09-01,6295.0,17278.0
2011-10-01,6027.0,15548.0
2011-11-01,6198.0,17520.0
2011-12-01,6744.0,16146.0
2012-01-01,7520.0,19168.0
2012-02-01,7024.0,31645.0
2012-03-01,7150.0,19945.0
2012-04-01,7227.0,18184.0
2012-05-01,7336.0,22913.0
2012-06-01,6879.0,21331.0
2012-07-01,6866.0,19119.0
2012-08-01,6515.0,17870.0
2012-09-01,6048.0,15790.0
2012-10-01,7292.0,17297.0
2012-11-01,6352.0,15508.0
2012-12-01,6018.0,16896.0
2013-01-01,7478.0,18748.0
2013-02-01,6509.0,29127.0
2013-03-01,7005.0,17684.0
2013-04-01,7292.0,17954.0
2013-05-01,7090.0,20499.0
2013-06-01,6717.0,21704.0
2013-07-01,6640.0,18114.0
2013-08-01,6248.0,17685.0
2013-09-01,6406.0,16787.0
2013-10-01,6583.0,16464.0
2013-11-01,6115.0,15698.0
2013-12-01,5796.0,13609.0
2014-01-01,6800.0,18121.0
2014-02-01,6243.0,21274.0
2014-03-01,7084.0,19384.0
2014-04-01,7370.0,17244.0
2014-05-01,7243.0,21538.0
2014-06-01,7140.0,18812.0
2014-07-01,6911.0,17583.0
2014-08-01,6315.0,16659.0
2014-09-01,6634.0,17595.0
2014-10-01,7065.0,17965.0
2014-11-01,6400.0,15906.0
2014-12-01,7063.0,17120.0
2015-01-01,7036.0,16931.0
2015-02-01,6870.0,25053.0
2015-03-01,7366.0,19263.0
2015-04-01,7962.0,20019.0
2015-05-01,6972.0,20072.0
2015-06-01,7363.0,19401.0
2015-07-01,6552.0,16678.0
2015-08-01,7192.0,17290.0
2015-09-01,7059.0,17186.0
2015-10-01,6980.0,16438.0
2015-11-01,6858.0,16730.0
2015-12-01,7234.0,16658.0
2016-01-01,7226.0,17661.0
2016-02-01,7013.0,25602.0
2016-03-01,7934.0,20750.0
2016-04-01,7045.0,17214.0
2016-05-01,7565.0,19711.0
2016-06-01,7236.0,18874.0
2016-07-01,6690.0,16397.0
2016-08-01,7446.0,18526.0
2016-09-01,7040.0,18122.0
2016-10-01,7257.0,14751.0
2016-11-01,7033.0,16436.0
2016-12-01,7165.0,16779.0
2017-01-01,7229.0,16579.0
2017-02-01,6885.0,28124.0
2017-03-01,7595.0,18576.0
2017-04-01,7905.0,16665.0
2017-05-01,7612.0,18775.0
2017-06-01,7144.0,16959.0
2017-07-01,6742.0,15521.0
2017-08-01,7024.0,16259.0
2017-09-01,7340.0,16366.0
2017-10-01,7270.0,14246.0
2017-11-01,7049.0,15399.0
2017-12-01,7085.0,15860.0
2018-01-01,7888.0,17281.0
2018-02-01,7365.0,30301.0
2018-03-01,7703.0,17061.0
2018-04-01,7776.0,16983.0
2018-05-01,7865.0,18843.0
2018-06-01,7178.0,17072.0
2018-07-01,6754.0,14841.0
2018-08-01,7597.0,16552.0
2018-09-01,6829.0,15756.0
2018-10-01,7337.0,15838.0
2018-11-01,7373.0,17246.0
2018-12-01,6917.0,14815.0
2019-01-01,8028.0,19679.0
2019-02-01,7123.0,33313.0
2019-03-01,7413.0,18790.0
2019-04-01,7727.0,17628.0
2019-05-01,7554.0,20090.0
2019-06-01,7375.0,18379.0
2019-07-01,7150.0,17476.0
2019-08-01,6998.0,17246.0
2019-09-01,7075.0,17332.0
2019-10-01,7366.0,15413.0
2019-11-01,7019.0,16111.0
2019-12-01,6930.0,14491.0
2020-01-01,7675.0,17692.0
2020-02-01,7239.0,29281.0
2020-03-01,7469.0,16296.0
2020-04-01,3275.0,6845.0
2020-05-01,6704.0,13683.0
2020-06-01,8037.0,16345.0
2020-07-01,7783.0,16616.0
2020-08-01,7651.0,16587.0
2020-09-01,7721.0,15083.0
2020-10-01,7725.0,15494.0
2020-11-01,7719.0,15307.0
2020-12-01,7328.0,15275.0
2021-01-01,7125.0,16320.0
2021-02-01,7288.0,22997.0
2021-03-01,8164.0,18147.0
2021-04-01,7608.0,15953.0
2021-05-01,6731.0,14741.0
2021-06-01,6768.0,14281.0
2021-07-01,6098.0,13904.0
2021-08-01,5800.0,12622.0
2021-09-01,6685.0,14001.0
2021-10-01,7276.0,13866.0
2021-11-01,8024.0,15261.0
2021-12-01,7925.0,14520.0
2022-01-01,8272.0,15937.0
2022-02-01,7335.0,28361.0
2022-03-01,7567.0,16033.0
2022-04-01,7654.0,14786.0
2022-05-01,8131.0,17174.0
2022-06-01,8128.0,15782.0
2022-07-01,7153.0,13961.0
2022-08-01,8324.0,16604.0
2022-09-01,8680.0,17193.0
2022-10-01,9007.0,15966.0
2022-11-01,8423.0,17024.0
2022-12-01,8217.0,18327.0
2023-01-01,8214.0,15358.0
2023-02-01,7622.0,28047.0
2023-03-01,8649.0,14253.0
2023-04-01,8530.0,13343.0
2023-05-01,8318.0,14968.0
2023-06-01,7750.0,13906.0
2023-07-01,7641.0,13838.0
2023-08-01,7735.0,13682.0
2023-09-01,7380.0,13419.0
2023-10-01,8090.0,12810.0
2023-11-01,7024.0,11863.0
2023-12-01,7667.0,12853.0
2024-01-01,7919.0,14355.0
2024-02-01,7854.0,27665.0
2024-03-01,7803.0,13437.0
2024-04-01,8289.0,12637.0
2024-05-01,8202.0,14773.0
2024-06-01,7617.0,12042.0
2024-07-01,8108.0,12736.0
2024-08-01,7929.0,12443.0
2024-09-01,7618.0,12239.0
2024-10-01,8618.0,12055.0
2024-11-01,7953.0,12858.0
2024-12-01,7444.0,11055.0
